name,lat,lng,vert
Kirkwood Mountain Resort,38.684,-120.068,2000
Mammoth Mountain Ski Area,37.63056,-119.0325,3100
Mount Baldy Ski Lifts,34.27,-117.62,2100
Mount Waterman,34.349722,-117.928,1030
Mountain High,34.37472,-117.6932,1600
Northstar California,39.264,-120.125,2280
Sierra-at-Tahoe,38.8002,-120.0806,2212
Snow Summit,34.2286,-116.8911,1209
Snow Valley Mountain Resort,34.223375,-117.037,1041
Squaw Valley Ski Resort,39.196,-120.235,2850
Sugar Bowl Ski Resort,39.30444,-120.3358
Tahoe Donner Downhill,39.3549,-120.259,600
Diamond Peak (ski area),39.254,-119.924,1840
Lee Canyon (Ski and Snowboard Resort),36.301638,-115.68
Mount Rose Ski Tahoe,39.32917,-119.8858,1800
Anthony Lakes (ski area),44.9637,-118.2348,900
Cooper Spur ski area,45.41228,-121.605
Ferguson Ridge Ski Area,45.28209,-117.1128
Hoodoo (ski area),44.409,-121.872,1035
Mount Ashland Ski Area,42.08333,-122.7166
Mount Bachelor ski area,44.003,-121.677,3365
Mount Hood Meadows,45.32889,-121.6625
Mount Hood Skibowl,45.30189,-121.7732
Spout Springs Ski Area,45.7550,-118.0543,530
Summit Ski Area,45.303000,-121.747
Timberline Lodge ski area,45.33,-121.71,3620
Warner Canyon,42.23749,-120.2958
Willamette Pass Resort,43.60,-122.036,1563
49 Degrees North Ski Area,48.301,-117.563,1851
Badger Mountain Ski Area,47.61273,-120.1297
Crystal Mountain (Washington),46.93,-121.48,3100
Echo Valley Ski Area,47.93583,-120.0561
Hurricane Ridge Ski and Snowboard Area,47.971,-123.493
Leavenworth Ski Hill,47.61437,-120.6685
Loup Loup Ski Bowl,48.39472,-119.9127
Meany Lodge,47.28028,-121.3205,440
Mission Ridge Ski Area,47.292,-120.399,2250
Mt. Baker Ski Area,48.862,-121.654,1589
Mount Spokane Ski and Snowboard Park,47.922,-117.097,2071
Ski Bluewood,46.082,-117.851,1125
Stevens Pass Ski Area,47.74472,-121.0888,1800
The Summit at Snoqualmie,47.424,-121.416,2280
Alpental,47.44306,-121.4294
White Pass Ski Area,46.63528,-121.3875,2000
