name,lat,lng,vert,viewcount2020,viewcount2019,viewcount2018,viewcount2017,viewcount2016,viewcount2015
Timberline Four Seasons Resort,null,null,null,null,null,null,null,null,null
Winterplace Ski Resort,37.59000,-81.11500,603,388,864,682,693,623,483
Chestnut Mountain,null,null,420,3476,8560,5720,5618,4814,5248
Ski Four Lakes,null,null,null,null,null,null,null,null,null
Raging Buffalo Snowboard Park,null,null,null,null,null,null,null,null,null
Ski Snowstar,41.4250,-90.7438,null,891,1810,2347,2305,1852,1891
Villa Olivia,null,null,null,null,null,null,null,null,null
Paoli Peaks,38.55778,-86.51028,300,1873,5573,5858,5816,6404,6392
Perfect North Slopes,39.149208,-84.886581,400,2805,9301,11192,14399,11736,9946
Mt. Crescent Ski Area,null,null,null,null,null,null,null,null,null
Seven Oaks Snow Ski Area,null,null,null,null,null,null,null,null,null
Sleepy Hollow Sports Park,null,null,null,null,null,null,null,null,null
Sundown Mountain,null,null,null,null,null,null,null,null,null
Al Quaal Recreation Ski Area,null,null,null,null,null,null,null,null,null
Alpine Valley (ski area),null,null,null,null,null,null,null,null,null
Apple Mountain Ski Resort,null,null,null,null,null,null,null,null,null
Big Powderhorn Mountain,46.50417,-90.09611,null,2417,4701,4716,5113,6726,5347
Bittersweet Ski Resort,null,null,null,null,null,null,null,null,null
"Blackjack Ski Resort (Bessemer, Michigan)",46.5021,-90.0046,490,875,2260,2699,2683,2944,2752
Boyne Highlands,45.47083,-84.93472,552,1700,4568,7364,8459,4154,4095
Boyne Mountain Resort,45.16389,-84.93278,500,1799,3043,2574,2681,2259,1926
Caberfae Peaks Ski & Golf Resort,44.24972,-85.72500,485,956,3085,3433,3860,3595,3458
Cannonsburg Ski Area,null,null,null,null,null,null,null,null,null
Challenge Mountain,null,null,null,null,null,null,null,null,null
Crystal Mountain (Michigan),44.52000,-85.99222,375,3561,7727,7244,7131,8309,7512
Garland Resort,null,null,null,null,null,null,null,null,null
Hickory Hills Ski Area,null,null,null,null,null,null,null,null,null
The Homestead (resort),null,null,null,null,null,null,null,null,null
Indianhead Mountain,46.50000,-89.97083,520,1458,3175,4140,6004,7134,5946
Marquette Mountain,46.508,-87.42,457,2308,4677,4856,4464,4744,4578
Mont Ripley,47.12917,-88.55944,null,1646,3689,3941,4097,4694,3699
Mount Bohemia,47.39167,-88.01361,900,4578,9173,7668,10894,17805,19841
Mount Brighton,42.53806,-83.80694,null,495,874,817,737,621,517
Mt. Holiday,null,null,null,null,null,null,null,null,null
Mt. Holly Ski and Snowboard Resort,null,null,null,null,null,null,null,null,null
Mt. McSauba Recreation Area,null,null,null,null,null,null,null,null,null
Mt. Zion Ski Area,null,null,null,null,null,null,null,null,null
Mulligan's Hollow Ski Bowl,43.0564,-86.2393,null,434,1045,1068,1066,1252,1148
Norway Mountain Ski and Snowboard Resort,null,null,null,null,null,null,null,null,null
Nub's Nob,45.47,-84.903,427,1380,3179,3475,4001,4186,4087
Otsego Club & Resort,null,null,null,null,null,null,null,null,null
Petoskey Winter Sports Park,null,null,null,null,null,null,null,null,null
Pine Knob,42.7422524,-83.3671629,null,3505,7494,8101,8912,10428,10806
Pine Mountain Resort,null,null,null,null,null,null,null,null,null
Porcupine Mountains,46.78111,-89.68083,null,19176,43147,45144,46872,51098,70341
Shanty Creek Resorts,null,null,null,null,null,null,null,null,null
Ski Brule,46.028,-88.701,null,1324,3300,3868,6457,3233,2033
Snow Snake Ski & Golf,null,null,null,null,null,null,null,null,null
Swiss Valley Ski and Snowboard Area,null,null,null,null,null,null,null,null,null
Timber Ridge Ski Area,42.391711,-85.779052,null,1564,5229,6174,6149,6376,4903
Treetops Resort,null,null,null,null,null,null,null,null,null
Afton Alps,44.85556,-92.78917,350,4768,10343,11789,16342,13137,7822
Andes Tower Hills,null,null,null,null,null,null,null,null,null
Buck Hill,44.724,-93.283,null,3920,9028,8883,15696,10599,8710
Buena Vista Ski Area,47.65806,-94.87917,null,null,1,null,510,800,797
Chester Bowl Park,null,null,null,null,null,null,null,null,null
Coffee Mill Ski Area,null,null,null,null,null,null,null,null,null
Detroit Mountain,null,null,null,null,null,null,null,null,null
Giants Ridge,null,null,500,null,null,null,null,null,1593
Hyland Hills Ski Area,44.844,-93.364,null,1234,3216,4553,1570,762,615
Lutsen Mountains,47.664,-90.714,825,5277,12463,13879,14202,13251,13685
Mount Itasca,null,null,null,null,null,null,null,null,null
Mount Kato,44.13139,-94.03639,240,877,2105,2528,2362,2193,2337
Powder Ridge,null,null,null,null,null,null,null,null,null
Ski Gull,null,null,null,null,null,null,null,null,null
Spirit Mountain (ski area),46.71944,-92.21806,678,2613,5911,6762,6914,6813,6387
Welch Village,44.56056,-92.72722,360,1032,2358,2762,2895,1995,2081
Wild Mountain,45.48889,-92.70556,null,1156,2366,2714,4513,3708,3450
Hidden Valley Ski Area,38.535578,-90.65287,320,2838,9565,10593,10144,12008,9194
Snow Creek (ski resort),39.468651,-94.971964,300,null,2012,4156,4648,4909,4577
Bottineau Winter Park,48.951,-100.473,180,1069,2475,2386,2276,2180,2154
Frost Fire Park,48.912,-98.068,330,827,1770,1547,2080,714,585
Huff Hills,46.62694,-100.72333,null,867,1729,1997,2065,2019,1484
Alpine Valley Ski Area,41.5303,-81.2662,240,1120,2959,3158,3976,4087,4378
Boston Mills/Brandywine Ski Resort,41.28389,-81.55556,240,null,null,null,null,null,null
Mad River Mountain,40.3163167,-83.6805639,300,3645,7088,8429,9183,10074,10974
Snow Trails Ski Resort,null,null,null,null,null,null,null,null,null
Big Creek Ski Area,null,null,null,null,null,null,null,null,null
Mystic Miner Ski Resort,44.3084333,-103.8184417,699,1762,3566,3229,2779,3914,3225
Great Bear Recreation Park,43.5821000,-96.6649667,178,1490,3189,3070,2939,2722,3454
Terry Peak,44.329,-103.835,1164,3066,6016,6279,5492,6250,7100
Alpine Valley Resort (Wisconsin),42.736,-88.428,null,3001,6241,6178,9370,9593,9004
Ausblick Ski Club,null,null,null,null,null,null,null,null,null
Badlands Sno-Park,null,null,null,null,null,null,null,null,null
Book Across the Bay,null,null,null,654,1749,1614,1522,1960,1228
Blackhawk Ski Club,null,null,null,null,null,null,null,null,null
Bruce Mound Winter Sports Area,null,null,null,null,null,null,null,null,null
Camp 10,null,null,null,null,null,null,null,null,null
Cascade Mountain (ski area),43.5039278,-89.5180167,450,2047,5636,5286,5946,5975,5079
Christie Mountain,null,null,null,null,null,null,null,null,null
Christmas Mountain Village,null,null,null,null,null,null,null,null,null
Crystal Ridge,null,null,null,null,null,null,null,null,null
Devil's Head Resort,43.42306,-89.62694,500,280,502,425,390,350,273
Fox Hill Ski Area,null,null,null,null,null,null,null,null,null
Granite Peak Ski Area,44.92861,-89.68250,700,2656,5819,6630,9437,9437,8726
Heiliger Huegel Ski Club,null,null,null,null,null,null,null,null,null
Kettlebowl,45.271323000,-88.901978833,null,681,1656,1555,1301,1192,1210
Kewaunee County Winter Park Ski Hill,null,null,null,null,null,null,null,null,null
Keyes Peak,null,null,null,null,null,null,null,null,null
Little Switzerland Ski Area,null,null,null,null,null,null,null,null,null
Mont Du Lac,null,null,null,null,null,null,null,null,null
The Mountain Top at Grand Geneva Resort,null,null,null,null,null,null,null,null,null
Mt. Ashwabay,null,null,null,null,null,null,null,null,null
Mt. LaCrosse,null,null,null,null,null,null,null,null,null
Navarino Slopes,null,null,null,null,null,null,null,null,null
Nordic Mountain,null,null,null,null,null,null,null,null,null
Nutt Hill,null,null,null,null,null,null,null,null,null
Powers Bluff,null,null,null,1021,2225,2666,2040,2081,2577
Standing Rocks,null,null,null,null,null,null,null,null,null
Sunburst Ski Area,null,null,null,null,null,null,null,null,null
Telemark Lodge,46.190056,-91.247639,null,3461,7832,11299,6634,10139,17141
Triangle Sports Area,null,null,null,null,null,null,null,null,null
Trollhaugen,45.35125,-92.61801,null,1266,2742,3884,5966,5170,3321
Tyrol Basin,43.042747,-89.77772,260,926,2209,2246,2972,2565,2485
Whitecap Mountains,null,null,null,null,null,null,null,null,null
Whitetail Ridge,null,null,null,null,null,null,null,null,null
Wilmot Mountain,42.50000,-88.18889,190,1910,12006,10256,10761,8509,8042
Arizona Snowbowl,35.330,-111.705,2300,12900,25486,27950,25997,32350,27114
Elk Ridge Ski Area,35.21056,-112.19250,650,1440,2118,2190,2317,2381,2370
Mount Lemmon Ski Valley,32.45222,-110.78389,957,5233,11488,11467,11741,12783,11079
Sunrise Park Resort,33.97333,-109.56472,1900,6043,10965,11016,9599,12242,12661
Arapahoe Basin,39.64167,-105.87167,2270,13831,30990,34743,33896,37369,27373
Aspen/Snowmass,null,null,null,null,null,null,null,null,null
Aspen Highlands,39.18111,-106.85639,4352,7475,17769,16880,16062,16279,13844
Aspen Mountain (ski area),39.18639,-106.81861,null,16605,35321,36182,31655,32199,25959
Buttermilk (ski area),39.20500,-106.86056,2030,5723,12111,12552,12795,12582,11400
Snowmass (ski area),39.1956,-106.9513,4406,10984,24233,22990,22764,22899,18639
Beaver Creek Resort,39.63139,-106.52167,3340,19173,34683,34124,31872,31028,25201
Breckenridge Ski Resort,39.480,-106.067,null,24988,56925,60147,50345,49803,37999
Chapman Hill Ski Area,null,null,null,null,null,null,null,null,null
Copper Mountain (Colorado),39.50167,-106.15639,null,21257,47529,48582,43734,44148,36168
Cranor Ski Area,null,null,null,null,null,null,null,null,null
Crested Butte Mountain Resort,38.89972,-106.96500,3055,8512,17410,17494,17044,17420,15200
Echo Mountain Resort,39.68500,-105.51944,600,null,824,4685,4850,3888,3139
Eldora Mountain Resort,39.93750,-105.58361,1240,5633,12240,16255,21162,27057,16535
Hesperus Ski Area,37.29778,-108.05500,688,1794,3912,3759,2999,2797,2713
Howelsen Hill Ski Area,40.483,-106.839,null,2190,5138,5766,6922,7309,7744
Kendall Mountain Ski Area,37.81135,-107.65652,null,743,1515,1683,1720,2316,2368
Keystone Resort,39.60500,-105.95417,3128,14363,29997,32246,30021,28805,24721
Lake City Ski Hill,null,null,null,null,null,null,null,null,null
Loveland Ski Area,39.680,-105.897,2210,8972,16439,17556,17522,18755,14316
Loveland Valley,null,null,null,null,null,null,null,null,null
Monarch Ski Area,38.51250,-106.33250,1170,4506,10162,11462,11335,11492,9879
Otter Mountain ski resort,null,null,null,null,null,null,null,null,null
Powderhorn Resort,39.06306,-108.15556,1650,3378,6778,6255,6251,6780,6288
Purgatory Resort,37.62972,-107.81444,2029,null,10024,16547,16742,18409,16010
Silverton Mountain,37.88470,-107.66529,3087,5309,11216,11125,15521,11469,12013
Ski Cooper,39.360,-106.302,1200,2822,6414,7007,6789,8068,7809
Ski Granby Ranch,null,null,null,null,null,null,null,null,null
Steamboat Ski Resort,40.459,-106.803,3668,13425,28066,26915,27118,28364,21615
Sunlight Ski Area,39.399806,-107.339278,2010,2143,5042,5026,4659,4540,4926
Telluride Ski Resort,37.93639,-107.82028,4425,12944,26273,26932,27870,30792,24847
Vail Ski Resort,39.639,-106.374,3450,28329,57609,59969,58381,54706,49864
Winter Park Resort,39.88694,-105.76250,3060,16528,35923,32452,30135,30737,22739
Wolf Creek ski area,37.47222,-106.79333,1604,7855,13185,10695,10740,12776,14877
Bald Mountain Ski Area,46.57,-115.87,684,1102,2324,2246,2138,2134,1962
Bogus Basin,43.764,-116.104,1792,8392,15868,16303,16478,17243,17044
Brundage Mountain,45.005,-116.155,1800,3730,6991,6264,6329,6103,6936
Cottonwood Butte,46.0755,-116.4528,1009,849,2046,2007,1554,1507,1433
Kelly Canyon,43.64583,-111.63000,1000,1205,2186,2147,1933,2024,2045
Little Ski Hill,44.93000,-116.16306,405,783,1857,1675,1563,1624,1655
Lookout Pass Ski and Recreation Area,47.453,-115.707,1150,3136,6535,7126,7133,7253,7775
Lost Trail Powder Mountain,45.692,-113.952,1800,2825,5217,5211,5900,6152,5859
Magic Mountain Resort,42.188306,-114.286111,700,1010,2172,2570,2293,2873,2612
"Pebble Creek, Idaho",42.778,-112.160,2911,1538,6337,13999,8111,7081,6975
"Sandpoint, Idaho",48.267,-116.567,null,57897,118555,114528,106156,110629,121569
Pomerelle,42.318,-113.608,1002,1230,2821,3393,2970,2806,2977
Rotarun Ski Area,43.497500,-114.366000,475,1256,2118,2754,1824,1859,1494
Schweitzer Mountain,48.367,-116.623,2440,9664,18957,19139,19174,18000,19006
Silver Mountain (Idaho),47.495,-116.135,2197,5408,11221,10418,9908,10196,13793
Snowhaven,45.869000,-116.09000,400,777,1830,2186,1595,1672,1657
Soldier Mountain,43.485,-114.830,1425,6402,3475,3361,3054,3885,3716
Bald Mountain (Idaho),43.65500,-114.40917,3400,7082,15042,13998,13183,14773,13457
